year,period,periodName,date,series,value,md_rate,mn_rate
2022,M12,December,2022-12-01,qr,2.6,2.25,2.24
2022,M12,December,2022-12-01,hl,6251,5569,5627.2
2022,M12,December,2022-12-01,hr,4,3.9,3.85
2022,M12,December,2022-12-01,tsl,5906,5401.5,5382.7
2022,M12,December,2022-12-01,tsr,3.8,3.7,3.68
2022,M12,December,2022-12-01,jol,11234,6522.5,7150.8
2022,M12,December,2022-12-01,jor,6.8,4.15,4.6
2022,M11,November,2022-11-01,ldl,1485,1749,1732.3
2022,M11,November,2022-11-01,ldr,1,1.2,1.19
2022,M11,November,2022-11-01,ql,4148,3219.5,3303.9
2022,M11,November,2022-11-01,qr,2.7,2.25,2.25
2022,M11,November,2022-11-01,hl,6253,5660,5645.6
2022,M11,November,2022-11-01,hr,4.1,3.8499999999999996,3.88
2022,M11,November,2022-11-01,tsl,5945,5478.5,5391.7
2022,M11,November,2022-11-01,tsr,3.9,3.6500000000000004,3.69
2022,M11,November,2022-11-01,jol,10746,6573,7027.8
2022,M11,November,2022-11-01,jor,6.5,4.25,4.54
2022,M10,October,2022-10-01,ldl,1525,1760.5,1705.8
2022,M10,October,2022-10-01,ldr,1,1.2,1.16
2022,M10,October,2022-10-01,ql,4048,3261.5,3261.9
2022,M10,October,2022-10-01,qr,2.6,2.25,2.2199999999999998
2022,M10,October,2022-10-01,hl,6164,5693,5643.6
2022,M10,October,2022-10-01,hr,4,3.8,3.87
2022,M10,October,2022-10-01,tsl,5846,5379.5,5318.1
2022,M10,October,2022-10-01,tsr,3.8,3.7,3.64
2022,M10,October,2022-10-01,jol,10471,6614,7029.4
2022,M10,October,2022-10-01,jor,6.4,4.4,4.57
2022,M09,September,2022-09-01,ldl,1436,1741,1708.6
2022,M09,September,2022-09-01,ldr,0.9,1.2,1.18
2022,M09,September,2022-09-01,ql,4065,3181.5,3242
2022,M09,September,2022-09-01,qr,2.6,2.2,2.23
2022,M09,September,2022-09-01,hl,6226,5537.5,5632
2022,M09,September,2022-09-01,hr,4.1,3.75,3.88
2022,M09,September,2022-09-01,tsl,5810,5203.5,5297.4
2022,M09,September,2022-09-01,tsr,3.8,3.6,3.64
2022,M09,September,2022-09-01,jol,10854,6416,6953.7
2022,M09,September,2022-09-01,jor,6.6,4.25,4.51
2022,M08,August,2022-08-01,ldl,1627,1773,1714.2727272727273
2022,M08,August,2022-08-01,ldr,1.1,1.2,1.1727272727272728
2022,M08,August,2022-08-01,ql,4242,3103,3250.6363636363635
2022,M08,August,2022-08-01,qr,2.8,2.1,2.209090909090909
2022,M08,August,2022-08-01,hl,6478,5815,5633.272727272727
2022,M08,August,2022-08-01,hr,4.2,3.8,3.8545454545454545
2022,M08,August,2022-08-01,tsl,6244,5334,5318
2022,M08,August,2022-08-01,tsr,4.1,3.6,3.6272727272727274
2022,M08,August,2022-08-01,jol,10198,6360,7123.818181818182
2022,M08,August,2022-08-01,jor,6.2,4.3,4.590909090909091
2022,M07,July,2022-07-01,ldl,1497,1759,1722.4545454545455
2022,M07,July,2022-07-01,ldr,1,1.2,1.190909090909091
2022,M07,July,2022-07-01,ql,4016,3097,3234.181818181818
2022,M07,July,2022-07-01,qr,2.6,2.2,2.209090909090909
2022,M07,July,2022-07-01,hl,6340,5649,5649.909090909091
2022,M07,July,2022-07-01,hr,4.1,3.8,3.8636363636363638
2022,M07,July,2022-07-01,tsl,5864,5338,5302.727272727273
2022,M07,July,2022-07-01,tsr,3.8,3.6,3.609090909090909
2022,M07,July,2022-07-01,jol,11380,6514,7174.909090909091
2022,M07,July,2022-07-01,jor,6.9,4.5,4.654545454545454
2022,M06,June,2022-06-01,ldl,1477,1761,1752.8181818181818
2022,M06,June,2022-06-01,ldr,1,1.2,1.209090909090909
2022,M06,June,2022-06-01,ql,4161,3154,3187.4545454545455
2022,M06,June,2022-06-01,qr,2.7,2.2,2.1818181818181817
2022,M06,June,2022-06-01,hl,6448,5760,5759.363636363636
2022,M06,June,2022-06-01,hr,4.2,3.8,3.9545454545454546
